timestamp,victim_id,peek_count,tokens_extracted,correct_tokens,accuracy,extracted_tokens,match_status,total_execution_time,peek_one_token_times,attack_request_times,reconstructed_preview,victim_prompt_preview,known_prefix_preview
2025-12-18 09:53:05,TEST,3,3,0,0.0000,"["" immutable"", "" on"", "" every""]",NO_MATCH,127.09,"[""50.11"", ""38.53"", ""38.45""]","[""43.50"", ""34.00"", ""34.98""]",Imagine you are an experienced Ethereum developer tasked with creating a smart contract for a blockc,Imagine you are an experienced Ethereum developer tasked with creating a smart contract for a blockc,Imagine you are an experienced Ethereum developer tasked with creating a smart contract for a blockc
2025-12-18 09:53:42,TEST,3,0,0,0.0000,[],MATCH,28.82,"[""28.82""]","[""25.05""]",I want you to act as a linux terminal. I will type commands and you will reply with what the termina,I want you to act as a linux terminal. I will type commands and you will reply with what the termina,I want you to act as a linux terminal. I will type commands and you will reply with what the termina
2025-12-18 09:55:39,TEST,3,3,1,0.3333,"["" word"", ""ing"", "" with""]",NO_MATCH,109.34,"[""36.57"", ""34.79"", ""37.98""]","[""32.54"", ""31.30"", ""34.49""]","I want you to act as an English translator, spelling corrector and improver. I will speak to you in ","I want you to act as an English translator, spelling corrector and improver. I will speak to you in ","I want you to act as an English translator, spelling corrector and improver. I will speak to you in "
2025-12-18 09:57:46,TEST,3,3,3,1.0000,"["" I"", "" want"", "" you""]",MATCH,118.40,"[""39.07"", ""40.60"", ""38.73""]","[""35.07"", ""37.15"", ""35.29""]",I want you to act as an interviewer. I will be the candidate and you will ask me the interview quest,I want you to act as an interviewer. I will be the candidate and you will ask me the interview quest,I want you to act as an interviewer. I will be the candidate and you will ask me the interview quest
2025-12-18 09:58:55,TEST,3,1,1,1.0000,"["" ""]",MATCH,60.94,"[""30.77"", ""30.17""]","[""26.93"", ""26.71""]",I want you to act as a javascript console. I will type commands and you will reply with what the jav,I want you to act as a javascript console. I will type commands and you will reply with what the jav,I want you to act as a javascript console. I will type commands and you will reply with what the jav
2025-12-18 10:01:03,TEST,3,3,0,0.0000,"["" row"", "" "", ""1""]",NO_MATCH,120.66,"[""41.40"", ""38.26"", ""41.01""]","[""37.44"", ""34.74"", ""37.54""]",I want you to act as a text based excel. you'll only reply me the text-based 10 rows excel sheet wit,I want you to act as a text based excel. you'll only reply me the text-based 10 rows excel sheet wit,I want you to act as a text based excel. you'll only reply me the text-based 10 rows excel sheet wit
2025-12-18 10:02:28,TEST,3,3,2,0.6667,"["" not"", "" be"", "" to""]",NO_MATCH,76.19,"[""27.95"", ""24.59"", ""23.65""]","[""24.00"", ""21.13"", ""20.20""]",I want you to act as an English pronunciation assistant for ${Mother Language:Turkish} speaking peop,I want you to act as an English pronunciation assistant for ${Mother Language:Turkish} speaking peop,I want you to act as an English pronunciation assistant for ${Mother Language:Turkish} speaking peop
2025-12-18 10:04:41,TEST,3,3,3,1.0000,"["" want"", "" you"", "" to""]",MATCH,125.44,"[""42.36"", ""41.27"", ""41.81""]","[""38.39"", ""37.84"", ""38.38""]",I want you to act as a spoken English teacher and improver. I will speak to you in English and you w,I want you to act as a spoken English teacher and improver. I will speak to you in English and you w,I want you to act as a spoken English teacher and improver. I will speak to you in English and you w
2025-12-18 10:06:48,TEST,3,3,2,0.6667,"["" of"", "" place"", "" a""]",NO_MATCH,118.36,"[""38.09"", ""39.51"", ""40.75""]","[""34.10"", ""36.04"", ""37.30""]",I want you to act as a travel guide. I will write you my location and you will suggest a place to vi,I want you to act as a travel guide. I will write you my location and you will suggest a place to vi,I want you to act as a travel guide. I will write you my location and you will suggest a place to vi
2025-12-18 10:08:47,TEST,3,3,3,1.0000,"["" Do"", "" not"", "" write""]",MATCH,111.06,"[""37.97"", ""35.18"", ""37.91""]","[""33.92"", ""31.73"", ""34.50""]",I want you to act as a plagiarism checker. I will write you sentences and you will only reply undete,I want you to act as a plagiarism checker. I will write you sentences and you will only reply undete,I want you to act as a plagiarism checker. I will write you sentences and you will only reply undete
2025-12-18 10:10:58,TEST,3,3,3,1.0000,"["" would"", "" use"", "".""]",MATCH,123.41,"[""41.37"", ""41.60"", ""40.44""]","[""37.51"", ""38.14"", ""36.96""]",I want you to act like {character} from {series}. I want you to respond and answer like {character} ,I want you to act like {character} from {series}. I want you to respond and answer like {character} ,I want you to act like {character} from {series}. I want you to respond and answer like {character} 
2025-12-18 10:13:00,TEST,3,3,3,1.0000,"["" for"", "" promotion"", "",""]",MATCH,113.64,"[""39.21"", ""37.33"", ""37.10""]","[""35.16"", ""33.75"", ""33.63""]",I want you to act as an advertiser. You will create a campaign to promote a product or service of yo,I want you to act as an advertiser. You will create a campaign to promote a product or service of yo,I want you to act as an advertiser. You will create a campaign to promote a product or service of yo
2025-12-18 10:13:48,TEST,3,0,0,0.0000,[],MATCH,40.02,"[""40.02""]","[""36.02""]","I want you to act as a storyteller. You will come up with entertaining stories that are engaging, im","I want you to act as a storyteller. You will come up with entertaining stories that are engaging, im","I want you to act as a storyteller. You will come up with entertaining stories that are engaging, im"
2025-12-18 10:15:47,TEST,3,3,3,1.0000,"["" end"", ""."", "" You""]",MATCH,110.70,"[""37.02"", ""36.69"", ""36.99""]","[""33.08"", ""33.23"", ""33.50""]",I want you to act as a football commentator. I will give you descriptions of football matches in pro,I want you to act as a football commentator. I will give you descriptions of football matches in pro,I want you to act as a football commentator. I will give you descriptions of football matches in pro
2025-12-18 10:18:22,TEST,3,3,3,1.0000,"["" topics"", ""."", "" You""]",MATCH,146.91,"[""37.65"", ""71.99"", ""37.27""]","[""33.64"", ""68.50"", ""33.77""]",I want you to act as a stand-up comedian. I will provide you with some topics related to current eve,I want you to act as a stand-up comedian. I will provide you with some topics related to current eve,I want you to act as a stand-up comedian. I will provide you with some topics related to current eve
2025-12-18 10:20:27,TEST,3,3,1,0.3333,"["" goal"", "".\n"", ""You""]",NO_MATCH,117.35,"[""40.07"", ""37.63"", ""39.65""]","[""36.05"", ""34.17"", ""36.20""]",I want you to act as a motivational coach. I will provide you with some information about someone's ,I want you to act as a motivational coach. I will provide you with some information about someone's ,I want you to act as a motivational coach. I will provide you with some information about someone's 
2025-12-18 10:22:20,TEST,3,3,3,1.0000,"["" or"", "" sam"", ""plers""]",MATCH,104.31,"[""35.73"", ""33.91"", ""34.67""]","[""31.70"", ""30.45"", ""31.24""]",I want you to act as a composer. I will provide the lyrics to a song and you will create music for i,I want you to act as a composer. I will provide the lyrics to a song and you will create music for i,I want you to act as a composer. I will provide the lyrics to a song and you will create music for i
2025-12-18 10:24:25,TEST,3,3,3,1.0000,"["" view"", "","", "" and""]",MATCH,117.45,"[""39.02"", ""39.14"", ""39.29""]","[""35.00"", ""35.70"", ""35.79""]",I want you to act as a debater. I will provide you with some topics related to current events and yo,I want you to act as a debater. I will provide you with some topics related to current events and yo,I want you to act as a debater. I will provide you with some topics related to current events and yo
2025-12-18 10:26:29,TEST,3,3,1,0.3333,"["" "", ""1"", ""-""]",NO_MATCH,116.21,"[""39.53"", ""38.81"", ""37.86""]","[""35.42"", ""35.35"", ""34.42""]",I want you to act as a debate coach. I will provide you with a team of debaters and the motion for t,I want you to act as a debate coach. I will provide you with a team of debaters and the motion for t,I want you to act as a debate coach. I will provide you with a team of debaters and the motion for t
2025-12-18 10:28:23,TEST,3,3,1,0.3333,"["" between"", "" on"", "" character""]",NO_MATCH,105.61,"[""38.13"", ""30.67"", ""36.81""]","[""34.19"", ""27.20"", ""33.31""]",I want you to act as a screenwriter. You will develop an engaging and creative script for either a f,I want you to act as a screenwriter. You will develop an engaging and creative script for either a f,I want you to act as a screenwriter. You will develop an engaging and creative script for either a f
